IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.33.40,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,19712 kB/s
8.218.207.169,2082,FALSE,HKG,Asia Pacific,Hong Kong,55 ms,18282 kB/s
8.217.251.62,2052,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,14323 kB/s
47.76.159.146,2052,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,12453 kB/s
47.76.204.76,2052,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,12287 kB/s
8.217.251.62,2082,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,12137 kB/s
47.236.9.152,8080,FALSE,SIN,Asia Pacific,Singapore,230 ms,9309 kB/s
47.76.204.76,8880,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,9239 kB/s
8.210.9.129,2052,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,9211 kB/s
47.76.204.76,2082,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,8868 kB/s
47.237.95.146,80,FALSE,SIN,Asia Pacific,Singapore,244 ms,8474 kB/s
47.236.97.90,80,FALSE,SIN,Asia Pacific,Singapore,222 ms,8461 kB/s
47.76.159.146,8080,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,8316 kB/s
8.219.174.213,2052,FALSE,SIN,Asia Pacific,Singapore,220 ms,8095 kB/s
47.236.149.107,2052,FALSE,SIN,Asia Pacific,Singapore,243 ms,7925 kB/s
47.236.9.152,8880,FALSE,SIN,Asia Pacific,Singapore,234 ms,7850 kB/s
8.219.174.213,2086,FALSE,SIN,Asia Pacific,Singapore,233 ms,7812 kB/s
47.237.95.13,80,FALSE,SIN,Asia Pacific,Singapore,218 ms,7760 kB/s
47.236.118.216,2095,FALSE,SIN,Asia Pacific,Singapore,222 ms,7643 kB/s
47.237.84.173,2095,FALSE,SIN,Asia Pacific,Singapore,229 ms,7444 kB/s
47.237.100.206,2052,FALSE,SIN,Asia Pacific,Singapore,239 ms,7437 kB/s
8.222.249.190,8880,FALSE,SIN,Asia Pacific,Singapore,228 ms,7325 kB/s
47.76.204.76,8080,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,7275 kB/s
47.237.84.173,8880,FALSE,SIN,Asia Pacific,Singapore,227 ms,7128 kB/s
47.236.150.13,2052,FALSE,SIN,Asia Pacific,Singapore,245 ms,7097 kB/s
47.236.144.156,8080,FALSE,SIN,Asia Pacific,Singapore,223 ms,7039 kB/s
8.222.249.190,80,FALSE,SIN,Asia Pacific,Singapore,234 ms,6956 kB/s
47.76.159.146,2086,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,6919 kB/s
47.236.149.107,2095,FALSE,SIN,Asia Pacific,Singapore,220 ms,6914 kB/s
47.236.144.196,80,FALSE,SIN,Asia Pacific,Singapore,229 ms,6839 kB/s
47.236.144.208,80,FALSE,SIN,Asia Pacific,Singapore,230 ms,6753 kB/s
47.236.165.25,8080,FALSE,SIN,Asia Pacific,Singapore,222 ms,6666 kB/s
47.236.118.216,80,FALSE,SIN,Asia Pacific,Singapore,224 ms,6612 kB/s
47.236.123.133,2052,FALSE,SIN,Asia Pacific,Singapore,255 ms,6580 kB/s
47.236.166.131,2086,FALSE,SIN,Asia Pacific,Singapore,229 ms,6573 kB/s
